ind type/C     gas/C g1 g2 wsci wche lsci lche asci ache ths tht th6 th7 th8 th0 th1 dd mts/C mss/C ms/C cu1 cu2 cd1 cd2 su1 su2 sd1 sd2 eu1 eu2 ed1 ed2 t1 t2 n1 n2 ch st mt
6   ths+tht    ethane    2 2 90 90 300 300 13 20 7 7 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 718.787 1370.63 4698.67 2260.17 800.321 3301.93 1631.47 2745.41 0.503627 1.64462 1.37537 1.57003 175.445 115.973 1037.7 721.027 0.859673    	13.256 8.49
7   th8        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 2 8 1 35 Aluminium Aluminium Lead 730.518 1375.17 4863.12 2307.71 802.534 3314.42 1675.58 2782.31 0.538756 1.66008 1.43016 1.59862 213.005 143.212 1047.91 728.209 0.859332   	13.164 8.911
8   th8        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 5 8 1 35 Aluminium Aluminium Lead 724.513 1383.23 4856.1 2303.48 806.542 3331.89 1656.68 2763.48 0.541671 1.66803 1.42766 1.59136 241.974 163.236 1049.83 727.678 0.876095    	13.315 8.478
9   th8        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 724.356 1379.61 4856.71 2304.09 800.4 3314.26 1633.21 2746.04 0.519406 1.66582 1.39389 1.56568 184.905 116.514 1039.35 724.287 0.861235     	12.884 8.44
10  th8        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 11 8 1 35 Aluminium Aluminium Lead 721.835 1368.29 4844.14 2291.68 798.489 3303.86 1625.33 2720.58 0.500504 1.66136 1.43239 1.54764 201.143 127.807 1038.49 719.804 0.849931  	13.092 8.265
11  th0        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 4 1 35 Aluminium Aluminium Lead 860.871 1575.81 5558.2 2575.12 889.597 3412.04 1812.23 2857.77 0.551406 1.72145 1.55133 1.64874 335.764 223.222 1048.99 727.336 0.877469    	13.649 10.114
12  th0        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 6 1 35 Aluminium Aluminium Lead 774.143 1466.64 5179.45 2422.01 828.856 3362.02 1699.84 2768.62 0.518513 1.69195 1.4545 1.59645 240.377 161.207 1044.06 722.944 0.870471    	13.205 8.92
13  th0        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 724.356 1379.61 4856.71 2304.09 800.4 3314.26 1633.21 2746.04 0.519406 1.66582 1.39389 1.56568 184.905 116.514 1039.35 724.287 0.861235     	12.884 8.44
14  th0        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 10 1 35 Aluminium Aluminium Lead 688.732 1302.26 4614.2 2206.71 771.838 3264.69 1563.22 2712.11 0.508208 1.6345 1.33985 1.54173 208.415 126.161 1036.1 718.55 0.857126      	13.006 8.024
15  th1        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 0.1 35 Aluminium Aluminium Lead 755.243 1398.1 4948.98 2393.43 816.261 3323.24 1628.75 2746.94 0.525799 1.67172 1.40324 1.57572 200.143 133.968 1040.9 721.969 0.858666   	13.163 8.404
